user_pair,restaurant1,match1,lmu
1YRDt0Bqmxsp6DHIm0SuwQ+++oUst55rUuv2nKEQ0FgJ5GQ,Kabab House,1,1
1YRDt0Bqmxsp6DHIm0SuwQ+++oUst55rUuv2nKEQ0FgJ5GQ,Viet Kitchen,0.6667,1
1YRDt0Bqmxsp6DHIm0SuwQ+++z_tqPytGQF_tDw_buHKJcw,Kabab House,1,0
1YRDt0Bqmxsp6DHIm0SuwQ+++z_tqPytGQF_tDw_buHKJcw,Viet Kitchen,0.4,0
CwkFJ_8zxwvTMX3jsLceJg+++jL41h4Ez98PZfqiKzbbY1w,Kabab House,0.5,0
CwkFJ_8zxwvTMX3jsLceJg+++jL41h4Ez98PZfqiKzbbY1w,Hammered Hog BBQ Hall & Saloon,0.6667,0
CwkFJ_8zxwvTMX3jsLceJg+++z_tqPytGQF_tDw_buHKJcw,Kabab House,0.5,0
CwkFJ_8zxwvTMX3jsLceJg+++z_tqPytGQF_tDw_buHKJcw,Hammered Hog BBQ Hall & Saloon,0.4,0
hZ_ElhGO3sQDVvM8ZrQetA+++i9pHU-_IFU9lPUed98zS9g,Kabab House,0.75,1
hZ_ElhGO3sQDVvM8ZrQetA+++i9pHU-_IFU9lPUed98zS9g,Gyro House,1,1
hZ_ElhGO3sQDVvM8ZrQetA+++jrqE4Jx-boDAxj4X7CLStQ,Kabab House,1,1
hZ_ElhGO3sQDVvM8ZrQetA+++jrqE4Jx-boDAxj4X7CLStQ,Gyro House,1,1
i9pHU-_IFU9lPUed98zS9g+++jrqE4Jx-boDAxj4X7CLStQ,Kabab House,0.75,1
i9pHU-_IFU9lPUed98zS9g+++jrqE4Jx-boDAxj4X7CLStQ,Gyro House,1,1
jL41h4Ez98PZfqiKzbbY1w+++jrqE4Jx-boDAxj4X7CLStQ,Kabab House,1,1
jL41h4Ez98PZfqiKzbbY1w+++jrqE4Jx-boDAxj4X7CLStQ,40th Street Cafe,1,1
jL41h4Ez98PZfqiKzbbY1w+++jrqE4Jx-boDAxj4X7CLStQ,Isa's Pizza,0.8,1
jL41h4Ez98PZfqiKzbbY1w+++oUst55rUuv2nKEQ0FgJ5GQ,Kabab House,1,1
jL41h4Ez98PZfqiKzbbY1w+++oUst55rUuv2nKEQ0FgJ5GQ,Isa's Pizza,0.8,1
jL41h4Ez98PZfqiKzbbY1w+++qExRQH6XkSa91EGwvNX4jQ,Kabab House,1,0
jL41h4Ez98PZfqiKzbbY1w+++qExRQH6XkSa91EGwvNX4jQ,40th Street Cafe,1,0
jL41h4Ez98PZfqiKzbbY1w+++z_tqPytGQF_tDw_buHKJcw,40th Street Cafe,1,1
jL41h4Ez98PZfqiKzbbY1w+++z_tqPytGQF_tDw_buHKJcw,Hammered Hog BBQ Hall & Saloon,0.6,1
jL41h4Ez98PZfqiKzbbY1w+++z_tqPytGQF_tDw_buHKJcw,Kabab House,1,1
jL41h4Ez98PZfqiKzbbY1w+++z_tqPytGQF_tDw_buHKJcw,40th Street Cafe,1,1
jrqE4Jx-boDAxj4X7CLStQ+++oUst55rUuv2nKEQ0FgJ5GQ,Kabab House,1,1
jrqE4Jx-boDAxj4X7CLStQ+++oUst55rUuv2nKEQ0FgJ5GQ,Rosati's Pizza,0.6667,1
jrqE4Jx-boDAxj4X7CLStQ+++oUst55rUuv2nKEQ0FgJ5GQ,Mi Comida Restaurante Latino,1,1
jrqE4Jx-boDAxj4X7CLStQ+++oUst55rUuv2nKEQ0FgJ5GQ,Isa's Pizza,1,1
jrqE4Jx-boDAxj4X7CLStQ+++qExRQH6XkSa91EGwvNX4jQ,Kabab House,1,0
jrqE4Jx-boDAxj4X7CLStQ+++qExRQH6XkSa91EGwvNX4jQ,40th Street Cafe,1,0
jrqE4Jx-boDAxj4X7CLStQ+++z_tqPytGQF_tDw_buHKJcw,Kabab House,1,0
jrqE4Jx-boDAxj4X7CLStQ+++z_tqPytGQF_tDw_buHKJcw,40th Street Cafe,1,0
jrqE4Jx-boDAxj4X7CLStQ+++z_tqPytGQF_tDw_buHKJcw,Rosati's Pizza,0.75,0
jrqE4Jx-boDAxj4X7CLStQ+++z_tqPytGQF_tDw_buHKJcw,Mi Comida Restaurante Latino,1,0
oITgyVd36mnx9FFGOOBYFw+++qExRQH6XkSa91EGwvNX4jQ,Kabab House,0.8,1
oITgyVd36mnx9FFGOOBYFw+++qExRQH6XkSa91EGwvNX4jQ,Matador Coffee,1,1
